Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Year
Accident,CEN20LA017,2019-11-01,"Kalamazoo, MI",United States,Non-Fatal,Substantial,Airplane,SOCATA,TB 30 EPSILON,No,0.0,unknown,Personal,0.0,0.0,1.0,0.0,VMC,unknown,2019
Accident,ERA20FA027,2019-11-01,"Stuart, FL",United States,Fatal,Destroyed,Airplane,GRUMMAN,OV-1,No,2.0,Turbo Prop,Air Race show,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,GAA20CA053,2019-11-01,"Salem, OR",United States,Non-Fatal,Substantial,Airplane,ZENAIR,CH701,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20WA083,2019-11-01,"Santa Severa Nord, Italy",Italy,Fatal,Destroyed,Airplane,CESSNA,F150,No,0.0,unknown,unknown,1.0,0.0,1.0,0.0,Unknown,unknown,2019
Accident,GAA20CA057,2019-11-02,"Palmyra, PA",United States,Non-Fatal,Substantial,Airplane,CUB CRAFTERS,CC11,No,0.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA068,2019-11-02,"Chester, CT",United States,Non-Fatal,Substantial,Airplane,ICON,A5,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,GAA20CA066,2019-11-02,"Gilbert, SC",United States,Non-Fatal,Substantial,Airplane,AMERICAN AVIATION,AA 5,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA059,2019-11-03,"Greer, SC",United States,Non-Fatal,Substantial,Airplane,ERCOUPE,415,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,GAA20CA056,2019-11-03,"Monument Valley, UT",United States,Non-Fatal,Substantial,Airplane,PITTS,S1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,unknown,2019
Accident,ERA20TA030,2019-11-04,"Doral, FL",United States,Non-Fatal,Substantial,Airplane,BEECH,76,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
Accident,ERA20FA031,2019-11-04,"New Bedford, MA",United States,Fatal,Destroyed,Airplane,CESSNA,150,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,unknown,2019
Accident,WPR20LA032,2019-11-04,"Hurricane, UT",United States,Non-Fatal,Substantial,Airplane,BEECH,36,No,0.0,unknown,Personal,0.0,0.0,0.0,2.0,VMC,unknown,2019
